File_name,Runtime,Tsk_All,P_All,Clo_All,Teq_All,PMV_All,PPD_All,SET_All,ET_All,Tsk_Group A,P_Group A,Clo_Group A,Teq_Group A,PMV_Group A,PPD_Group A,SET_Group A,ET_Group A,Tsk_Group B,P_Group B,Clo_Group B,Teq_Group B,PMV_Group B,PPD_Group B,SET_Group B,ET_Group B,Tsk_Crown,P_Crown,Clo_Crown,Teq_Crown,Tsk_Head,P_Head,Clo_Head,Teq_Head,Tsk_Left Chest,P_Left Chest,Clo_Left Chest,Teq_Left Chest,Tsk_Right Chest,P_Right Chest,Clo_Right Chest,Teq_Right Chest,Tsk_Left Back,P_Left Back,Clo_Left Back,Teq_Left Back,Tsk_Right Back,P_Right Back,Clo_Right Back,Teq_Right Back,Tsk_Abdomen,P_Abdomen,Clo_Abdomen,Teq_Abdomen,Tsk_Buttocks,P_Buttocks,Clo_Buttocks,Teq_Buttocks,Tsk_Left Upper Arm,P_Left Upper Arm,Clo_Left Upper Arm,Teq_Left Upper Arm,Tsk_Right Upper Arm,P_Right Upper Arm,Clo_Right Upper Arm,Teq_Right Upper Arm,Tsk_Left Forearm,P_Left Forearm,Clo_Left Forearm,Teq_Left Forearm,Tsk_Right Forearm,P_Right Forearm,Clo_Right Forearm,Teq_Right Forearm,Tsk_Left Hand,P_Left Hand,Clo_Left Hand,Teq_Left Hand,Tsk_Right Hand,P_Right Hand,Clo_Right Hand,Teq_Right Hand,Tsk_Left Front Thigh,P_Left Front Thigh,Clo_Left Front Thigh,Teq_Left Front Thigh,Tsk_Right Front Thigh,P_Right Front Thigh,Clo_Right Front Thigh,Teq_Right Front Thigh,Tsk_Left Back Thigh,P_Left Back Thigh,Clo_Left Back Thigh,Teq_Left Back Thigh,Tsk_Right Back Thigh,P_Right Back Thigh,Clo_Right Back Thigh,Teq_Right Back Thigh,Tsk_Left Lower Leg,P_Left Lower Leg,Clo_Left Lower Leg,Teq_Left Lower Leg,Tsk_Right Lower Leg,P_Right Lower Leg,Clo_Right Lower Leg,Teq_Right Lower Leg,Tsk_Left Foot,P_Left Foot,Clo_Left Foot,Teq_Left Foot,Tsk_Right Foot,P_Right Foot,Clo_Right Foot,Teq_Right Foot,Reference_time
2025-02-03_ID4_Midiam evaporative cooler (white)_High_Ta25_TskControl34.csv,776582.0,34.0,56.8,,34.0,3.0,99.2,31.2,34.0,34.0,60.120000000000005,,34.0,3.0,99.2,31.2,34.0,34.0,31.619999999999997,,34.0,3.0,99.2,31.2,34.0,34.0,115.52000000000001,,34.0,34.0,22.44,,34.0,34.0,31.840000000000003,,34.0,34.0,32.74,,34.0,34.0,35.42,,34.0,34.0,39.5,,34.0,34.0,53.82000000000001,,34.0,34.0,31.619999999999997,,34.0,34.0,50.879999999999995,,34.0,34.0,51.64,,34.0,34.0,71.38,,34.0,34.0,73.96000000000001,,34.0,34.0,116.88,,34.0,34.0,94.74,,34.0,34.0,59.85999999999999,,34.0,34.0,61.92,,34.0,34.0,68.4,,34.0,34.0,65.82000000000001,,34.0,34.0,66.03999999999999,,34.0,34.0,68.3,,34.0,34.0,46.24,,34.0,34.0,45.980000000000004,,34.0,2025-02-03 19:08:48
2025-02-03_ID4_Midiam evaporative cooler (white)_Low_Ta25_TskControl34.csv,774362.0,34.0,55.6,,34.0,3.0,99.2,31.2,34.0,34.0,58.32000000000001,,34.0,3.0,99.2,31.2,34.0,34.0,31.72,,34.0,3.0,99.2,31.2,34.0,34.0,112.24000000000001,,34.0,34.0,25.7,,34.0,34.0,32.6,,34.0,34.0,31.839999999999996,,34.0,34.0,37.24,,34.0,34.0,43.14,,34.0,34.0,54.67999999999999,,34.0,34.0,31.72,,34.0,34.0,48.82,,34.0,34.0,50.96,,34.0,34.0,63.92,,34.0,34.0,70.14,,34.0,34.0,94.41999999999999,,34.0,34.0,85.44000000000001,,34.0,34.0,57.0,,34.0,34.0,59.620000000000005,,34.0,34.0,70.4,,34.0,34.0,68.5,,34.0,34.0,64.6,,34.0,34.0,66.5,,34.0,34.0,45.05999999999999,,34.0,34.0,44.760000000000005,,34.0,2025-02-03 18:31:48
2025-02-03_ID4_Midiam evaporative cooler (white)_Mid_Ta25_TskControl34.csv,775682.0,34.0,55.44,,34.0,3.0,99.2,31.2,34.0,34.0,58.239999999999995,,34.0,3.0,99.2,31.2,34.0,34.0,31.04,,34.0,3.0,99.2,31.2,34.0,34.0,116.4,,34.0,34.0,25.1,,34.0,34.0,31.639999999999997,,34.0,34.0,31.880000000000003,,34.0,34.0,37.660000000000004,,34.0,34.0,39.42,,34.0,34.0,52.019999999999996,,34.0,34.0,31.04,,34.0,34.0,48.56,,34.0,34.0,51.34000000000001,,34.0,34.0,66.08,,34.0,34.0,72.74,,34.0,34.0,100.2,,34.0,34.0,90.64000000000001,,34.0,34.0,56.120000000000005,,34.0,34.0,60.040000000000006,,34.0,34.0,68.58,,34.0,34.0,65.22,,34.0,34.0,64.9,,34.0,34.0,66.02,,34.0,34.0,46.08,,34.0,34.0,45.08,,34.0,2025-02-03 18:53:48
2025-02-04_ID0_NoPCS_Ta25_TskControl34.csv,830642.0,34.0,55.82000000000001,,34.0,3.0,99.2,31.2,34.0,34.0,61.92,,34.0,3.0,99.2,31.2,34.0,34.0,43.26,,34.0,3.0,99.2,31.2,34.0,34.0,51.08,,34.0,34.0,17.16,,34.0,34.0,30.659999999999997,,34.0,34.0,33.7,,34.0,34.0,39.62,,34.0,34.0,43.260000000000005,,34.0,34.0,61.279999999999994,,34.0,34.0,43.26,,34.0,34.0,48.9,,34.0,34.0,54.260000000000005,,34.0,34.0,59.7,,34.0,34.0,69.11999999999999,,34.0,34.0,85.25999999999999,,34.0,34.0,83.22,,34.0,34.0,61.68000000000001,,34.0,34.0,66.16,,34.0,34.0,76.06,,34.0,34.0,74.02000000000001,,34.0,34.0,68.4,,34.0,34.0,68.36,,34.0,34.0,49.660000000000004,,34.0,34.0,48.260000000000005,,34.0,2025-02-04 10:09:49
2025-02-04_ID4_Midiam evaporative cooler (white)_High_Ta25_TskControl34.csv,833342.0,34.0,56.879999999999995,,34.0,3.0,99.2,31.2,34.0,34.0,59.839999999999996,,34.0,3.0,99.2,31.2,34.0,34.0,36.04,,34.0,3.0,99.2,31.2,34.0,34.0,126.3,,34.0,34.0,24.78,,34.0,34.0,34.279999999999994,,34.0,34.0,33.36,,34.0,34.0,39.36,,34.0,34.0,40.42,,34.0,34.0,55.5,,34.0,34.0,36.04,,34.0,34.0,49.46,,34.0,34.0,51.48,,34.0,34.0,64.66,,34.0,34.0,68.78,,34.0,34.0,97.47999999999999,,34.0,34.0,86.52000000000001,,34.0,34.0,57.56,,34.0,34.0,61.220000000000006,,34.0,34.0,71.06,,34.0,34.0,66.8,,34.0,34.0,66.16,,34.0,34.0,67.08000000000001,,34.0,34.0,48.54,,34.0,34.0,47.88,,34.0,2025-02-04 10:54:49
2025-02-04_ID4_Midiam evaporative cooler (white)_Low_Ta25_TskControl34.csv,831482.0,34.0,57.44,,34.0,3.0,99.2,31.2,34.0,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,39.04,,34.0,3.0,99.2,31.2,34.0,34.0,112.9,,34.0,34.0,22.18,,34.0,34.0,35.019999999999996,,34.0,34.0,33.4,,34.0,34.0,40.120000000000005,,34.0,34.0,43.61999999999999,,34.0,34.0,59.379999999999995,,34.0,34.0,39.04,,34.0,34.0,51.4,,34.0,34.0,53.67999999999999,,34.0,34.0,62.8,,34.0,34.0,69.35999999999999,,34.0,34.0,94.72,,34.0,34.0,84.16,,34.0,34.0,58.660000000000004,,34.0,34.0,62.38000000000001,,34.0,34.0,72.78,,34.0,34.0,72.08,,34.0,34.0,65.4,,34.0,34.0,67.58000000000001,,34.0,34.0,48.21999999999999,,34.0,34.0,48.0,,34.0,2025-02-04 10:23:49
2025-02-04_ID4_Midiam evaporative cooler (white)_Mid_Ta25_TskControl34.csv,832502.0,34.0,56.620000000000005,,34.0,3.0,99.2,31.2,34.0,34.0,59.52,,34.0,3.0,99.2,31.2,34.0,34.0,36.31999999999999,,34.0,3.0,99.2,31.2,34.0,34.0,119.58000000000001,,34.0,34.0,22.68,,34.0,34.0,34.02,,34.0,34.0,34.459999999999994,,34.0,34.0,39.46,,34.0,34.0,41.540000000000006,,34.0,34.0,57.44,,34.0,34.0,36.31999999999999,,34.0,34.0,49.48,,34.0,34.0,52.779999999999994,,34.0,34.0,61.75999999999999,,34.0,34.0,67.82000000000001,,34.0,34.0,92.62,,34.0,34.0,86.3,,34.0,34.0,58.2,,34.0,34.0,59.580000000000005,,34.0,34.0,70.14,,34.0,34.0,71.04,,34.0,34.0,65.5,,34.0,34.0,66.82,,34.0,34.0,48.14,,34.0,34.0,46.480000000000004,,34.0,2025-02-04 10:40:49
"2025-02-04_ID5_Big desk fan (daison, short)_Level10_Ta25_TskControl34.csv",839342.0,34.0,59.220000000000006,,34.0,3.0,99.2,31.2,34.0,34.0,59.21999999999999,,34.0,3.0,99.2,31.2,34.0,34.0,32.04,,34.0,3.0,99.2,31.2,34.0,34.0,140.16,,34.0,34.0,25.1,,34.0,34.0,37.24,,34.0,34.0,39.239999999999995,,34.0,34.0,40.8,,34.0,34.0,43.78,,34.0,34.0,54.540000000000006,,34.0,34.0,32.04,,34.0,34.0,54.5,,34.0,34.0,56.879999999999995,,34.0,34.0,68.9,,34.0,34.0,75.28,,34.0,34.0,110.33999999999999,,34.0,34.0,96.32,,34.0,34.0,59.08,,34.0,34.0,60.260000000000005,,34.0,34.0,72.47999999999999,,34.0,34.0,70.78,,34.0,34.0,65.1,,34.0,34.0,65.92,,34.0,34.0,47.4,,34.0,34.0,45.58,,34.0,2025-02-04 12:34:49
"2025-02-04_ID5_Big desk fan (daison, short)_Level1_Ta25_TskControl34.csv",834302.0,34.0,56.1,,34.0,3.0,99.2,31.2,34.0,34.0,60.14,,34.0,3.0,99.2,31.2,34.0,34.0,32.760000000000005,,34.0,3.0,99.2,31.2,34.0,34.0,92.28,,34.0,34.0,18.440000000000005,,34.0,34.0,33.879999999999995,,34.0,34.0,35.660000000000004,,34.0,34.0,38.14,,34.0,34.0,40.4,,34.0,34.0,56.14,,34.0,34.0,32.760000000000005,,34.0,34.0,48.64,,34.0,34.0,53.38000000000001,,34.0,34.0,61.959999999999994,,34.0,34.0,69.97999999999999,,34.0,34.0,92.62,,34.0,34.0,86.16,,34.0,34.0,57.98,,34.0,34.0,68.94,,34.0,34.0,71.12,,34.0,34.0,72.02000000000001,,34.0,34.0,67.1,,34.0,34.0,67.46000000000001,,34.0,34.0,48.160000000000004,,34.0,34.0,47.239999999999995,,34.0,2025-02-04 11:10:49
"2025-02-04_ID5_Big desk fan (daison, short)_Level3_Ta25_TskControl34.csv",835262.0,34.0,57.92,,34.0,3.0,99.2,31.2,34.0,34.0,59.1,,34.0,3.0,99.2,31.2,34.0,34.0,35.4,,34.0,3.0,99.2,31.2,34.0,34.0,106.13999999999999,,34.0,34.0,20.56,,34.0,34.0,37.00000000000001,,34.0,34.0,37.7,,34.0,34.0,39.720000000000006,,34.0,34.0,43.519999999999996,,34.0,34.0,59.239999999999995,,34.0,34.0,35.4,,34.0,34.0,53.96,,34.0,34.0,56.96,,34.0,34.0,68.34,,34.0,34.0,73.14000000000001,,34.0,34.0,103.17999999999999,,34.0,34.0,90.08,,34.0,34.0,54.080000000000005,,34.0,34.0,62.08,,34.0,34.0,70.78,,34.0,34.0,73.32000000000001,,34.0,34.0,66.0,,34.0,34.0,67.97999999999999,,34.0,34.0,48.36,,34.0,34.0,47.32000000000001,,34.0,2025-02-04 11:26:49
"2025-02-04_ID5_Big desk fan (daison, short)_Level5_Ta25_TskControl34.csv",837362.0,34.0,58.14,,34.0,3.0,99.2,31.2,34.0,34.0,59.980000000000004,,34.0,3.0,99.2,31.2,34.0,34.0,33.3,,34.0,3.0,99.2,31.2,34.0,34.0,120.2,,34.0,34.0,21.78,,34.0,34.0,36.67999999999999,,34.0,34.0,37.94,,34.0,34.0,40.02,,34.0,34.0,42.84,,34.0,34.0,57.11999999999999,,34.0,34.0,33.3,,34.0,34.0,53.34000000000001,,34.0,34.0,55.48,,34.0,34.0,65.82000000000001,,34.0,34.0,71.58,,34.0,34.0,104.92,,34.0,34.0,91.46000000000001,,34.0,34.0,58.88000000000001,,34.0,34.0,58.9,,34.0,34.0,73.2,,34.0,34.0,72.73999999999998,,34.0,34.0,65.92,,34.0,34.0,67.61999999999999,,34.0,34.0,47.099999999999994,,34.0,34.0,47.279999999999994,,34.0,2025-02-04 12:01:49
"2025-02-04_ID5_Big desk fan (daison, short)_Level8_Ta25_TskControl34.csv",838442.0,34.0,59.04,,34.0,3.0,99.2,31.2,34.0,34.0,59.61999999999999,,34.0,3.0,99.2,31.2,34.0,34.0,32.760000000000005,,34.0,3.0,99.2,31.2,34.0,34.0,133.06,,34.0,34.0,23.479999999999997,,34.0,34.0,37.739999999999995,,34.0,34.0,38.88,,34.0,34.0,40.480000000000004,,34.0,34.0,43.8,,34.0,34.0,56.260000000000005,,34.0,34.0,32.760000000000005,,34.0,34.0,54.0,,34.0,34.0,57.04,,34.0,34.0,68.46000000000001,,34.0,34.0,70.04,,34.0,34.0,108.67999999999999,,34.0,34.0,96.86,,34.0,34.0,58.6,,34.0,34.0,60.480000000000004,,34.0,34.0,74.1,,34.0,34.0,70.97999999999999,,34.0,34.0,65.66,,34.0,34.0,66.9,,34.0,34.0,47.3,,34.0,34.0,46.66,,34.0,2025-02-04 12:19:49
2025-02-04_ID6_Neck fan_Level1_Ta25_TskControl34.csv,845882.0,34.0,56.339999999999996,,34.0,3.0,99.2,31.2,34.0,34.0,59.620000000000005,,34.0,3.0,99.2,31.2,34.0,34.0,36.42,,34.0,3.0,99.2,31.2,34.0,34.0,114.46,,34.0,34.0,16.720000000000002,,34.0,34.0,31.1,,34.0,34.0,33.42,,34.0,34.0,37.86,,34.0,34.0,42.14,,34.0,34.0,59.080000000000005,,34.0,34.0,36.42,,34.0,34.0,47.019999999999996,,34.0,34.0,52.64000000000001,,34.0,34.0,62.94,,34.0,34.0,72.52000000000001,,34.0,34.0,97.26,,34.0,34.0,88.47999999999999,,34.0,34.0,57.5,,34.0,34.0,63.5,,34.0,34.0,70.02,,34.0,34.0,68.24000000000001,,34.0,34.0,66.3,,34.0,34.0,67.24,,34.0,34.0,47.33999999999999,,34.0,34.0,46.92,,34.0,2025-02-04 14:23:49
2025-02-04_ID6_Neck fan_Level3_Ta25_TskControl34.csv,847862.0,34.0,56.239999999999995,,34.0,3.0,99.2,31.2,34.0,34.0,59.54,,34.0,3.0,99.2,31.2,34.0,34.0,33.14,,34.0,3.0,99.2,31.2,34.0,34.0,135.04000000000002,,34.0,34.0,18.419999999999998,,34.0,34.0,31.26,,34.0,34.0,33.260000000000005,,34.0,34.0,36.78000000000001,,34.0,34.0,40.14,,34.0,34.0,55.260000000000005,,34.0,34.0,33.14,,34.0,34.0,47.06,,34.0,34.0,53.42,,34.0,34.0,60.46,,34.0,34.0,70.3,,34.0,34.0,91.14000000000001,,34.0,34.0,88.8,,34.0,34.0,57.32000000000001,,34.0,34.0,62.720000000000006,,34.0,34.0,70.52000000000001,,34.0,34.0,67.88,,34.0,34.0,66.74,,34.0,34.0,66.9,,34.0,34.0,47.0,,34.0,34.0,46.5,,34.0,2025-02-04 14:56:49
